drugbank_id	cancer	cardiovascular	hormonal	immune	neurological	ophthalmological
DB05299	3			2		
DB05316					4	
DB05336						
DB05351	3		4	4		
DB05374	1					
DB05381	3			3		
DB05382	2	3		1.5		0
DB05383			1	0		
DB05395					3	
DB05400					2	
DB05418					2	
DB05426	3					
DB05428	3					
DB05455			3			
DB05463	1					
DB05478				3		
DB05482	4					
DB05483			4		0	
DB05524	2					
DB05540	2					
DB05541	1				3	
DB05562					3	
DB05575	3					
DB05578	3					
DB05595	2					
DB05624	2					
DB05630	1					
DB05656	1.5			2		
DB05667						
DB05668	4					
DB05676			2	4		
DB05679			2.5	4		
DB05697	1					
DB05708					2	
DB05737				2		
DB05767	2			4		
DB05773	4					
DB05786	2					
DB05812	4		2			
DB05829				2		
DB05889	2					
DB05892				3		
DB05916	2					
DB05941	1.5			2		
DB05974		2				
DB05996	2					
DB06016					4	
DB06043	2					
DB06077						
DB06119					3	
DB06137	2			1		
DB06140					3	
DB06144					4	
DB06148					4	
DB06151	4	4	4	4	4	
DB06152						
DB06155			3		2	
DB06159	2					
DB06176	2					
DB06186	4					
DB06192	3					
DB06193	3					
DB06195	2		2			
DB06196				2		
DB06198	2					
DB06199	3		3			
DB06201					4	
DB06203			4			
DB06204				4		
DB06207	4					
DB06209		4	4	4	0	
DB06212			4			
DB06213			4	4		
DB06215	2	1			0	
DB06216					4	
DB06218	2			2	4	
DB06224				3		
DB06228	4	4	0	4	4	
DB06230					2	
DB06235	3					
DB06243	3		2			
DB06246	3					
DB06262					4	
DB06263	3					
DB06266	3					
DB06267	4				3	
DB06268				2		
DB06271		4	4			
DB06273						
DB06274	3					
DB06282	2			4		
DB06285			4	4		
DB06288					4	
DB06290				3		
DB06292	2	4	4		1.5	
DB06294		2				
DB06311			2			
DB06335		3	4			
DB06365	2					
DB06366	4					
DB06370	2					
DB06372			1	3		
DB06379			4	3	4	
DB06393	3				3	
DB06401	2			4	4	
DB06403				2.5		
DB06404		2		4		
DB06406		3				
DB06410	2			2		
DB06413	4	3		4	4	
DB06414				4	0	
DB06420	1.5					
DB06423	4			2		
DB06433	2					
DB06436	2					
DB06441		4				
DB06444	1					
DB06448	3			3		
DB06461	2		2			
DB06470					3	
DB06480				4	1	
DB06485	1					
DB06506		2				
DB06527					3	
DB06554					3	
DB06558		4	4		0	
DB06579					2	
DB06582				2		
DB06594					4	
DB06595	1					
DB06599	2.5					
DB06602				4		
DB06603	2					
DB06605	2	4		1.5		
DB06607	3					
DB06612						
DB06618		2			2	
DB06624			3			
DB06626	3	2				
DB06634					2	
DB06635		3				
DB06637	2.5	2			2	
DB06643	4		2	4		3
DB06647	2					
DB06650	3			3		
DB06654						
DB06655		0	4	4	3	
DB06662				3		
DB06663	4		4			
DB06674			2	4	0	
DB06678	2			0	4	
DB06681			2	4		
DB06682	2			3		
DB06683	1			3		
DB06684					4	
DB06688						
DB06690	0				4	4
DB06691						
DB06692	1					
DB06694				3		
DB06695	1	4	4	1	1	
DB06698					2	
DB06699						
DB06700	4				4	
DB06702					4	
DB06704					4	
DB06709				4		
DB06710	3	2.5	4		3	
DB06712					3	
DB06713		0				
DB06715						
DB06717	4			3		
DB06719	3					
DB06723	2	3	3	2		
DB06724	3		2	2	4	
DB06725	4			0	2	
DB06735			2			
DB06736				4		
DB06742				3	2	
DB06754						
DB06755		2		3		3
DB06756					4	
DB06757	1.5					
DB06767						
DB06768						
DB06769	3					
DB06770						
DB06771						4
DB06772						
DB06774	3	2		4	1.5	
DB06777			0			
DB06779	4	4	3	4		
DB06781						4
DB06782	1			1		
DB06784	2					
DB06786						
DB06789	2.5					
DB06791	3					
DB06800		4				
DB06802			3			4
DB06803	2		3	1.5		
DB06809	2		1.5			
DB06810	1.5					
DB06811	2					
DB06812	4		0	1		0
DB06817				3	1	
DB06819	2				2	
DB06822	4	4	2.5	4		
DB06824	1		2			2
DB06825	4			2		
DB06826						
DB07232	3					
DB07615				2		
DB08162		4				
DB08329					3	
DB08439				4		
DB08486	3					
DB08604				4		
DB08799						
DB08801				0		
DB08804						
DB08813	3	4				
DB08814		4				
DB08815					4	
DB08816		4	4	4	4	
DB08818	3	0	0	4		4
DB08819						
DB08820				4		
DB08822			4			
DB08826		2			2.5	
DB08831	3			1		
DB08834			2	1	2	
DB08839		2		4	4	
DB08841					3	
DB08842	3		3		4	
DB08844		2.5		0		
DB08860	2.5	4	4		0	
DB08862	1		0			
DB08865	4					
DB08867	2					
DB08868	1	2	4	2	4	2
DB08869			4		2	
DB08870	3			2		
DB08871						
DB08872						
DB08878	2			2		
DB08879				4		
DB08880				1.5		
DB08881	4					
